site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Pearl Assurance House, 2 To 12 (even) Wheeler Gate And 1 To 9 (odd), Friar Lane, Nottingham, NG1 3DR",yes,,2019-08-15,,0.21,31,31,DevelopmentDescription: Various permissions: Change of use from Offices (Class B1a) and Accountancy Training Centre (Class D1) to 15 residential apartments (Class C3) and Change of use and conversion of offices (Class B1A) and accountancy training centre (Class D1) to 16 dwell; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-07-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P7ZXC9LYG0A00,permissioned,full planning permission,2404,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457114.6500000004&xmax=457178.2000000002&ymin=339758.8499999996&ymax=339823.94999999925",2018-12-14
"Site Of The Red Cow Public House, Gregory Street, Nottingham NG7 2NQ",yes,,2019-08-15,,0.11,9,9,DevelopmentDescription: 9 self contained dwellings and associated parking; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-03-08,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVA3E0LYJSQ00,permissioned,full planning permission,2405,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455349.61400000006&xmax=455389.8679999998&ymin=338779.44999999925&ymax=338808.43799999915",2018-12-14
"12 - 16 Lower Parliament Street, Nottingham NG1 3DA,",,31/03/2019,2019-08-15,,0.03,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-02-08,,permissioned,full planning permission,2407,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457384.5999999996&xmax=457399.5&ymin=340059.5999999996&ymax=340084.5999999996",2018-12-14
"217 Mansfield Road, Nottingham NG1 3FS",yes,,2019-08-15,,0.01,2,2,DevelopmentDescription: Change of use to the lower ground floor to create 2no. self-contained dwellings from an A1 commercial unit; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-12-27,,permissioned,full planning permission,2410,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457037.2000000002&xmax=457055.9500000002&ymin=341001.3599999994&ymax=341012.4000000004",2018-12-14
"Radford Mill Warehouse, Garden Street, Nottingham",,31/03/2019,2019-08-15,,0.09,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-01-09,,permissioned,full planning permission,2420,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455741.65500000026&xmax=455771.5&ymin=340323.1180000007&ymax=340362.5",2018-12-14
"Middletons, Trowell Road, Nottingham, NG8 2DH",yes,,2019-01-09,,0.28,6,6,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: Yes; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-15,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PGDVUWLY00L00,permissioned,,2427,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=451909.3389999997&xmax=451970.06099999975&ymin=340036.3350000009&ymax=340106.3839999996",2019-01-09
"112 - 128 Derby Road And 181 - 195 Wollaton Street, Nottingham, NG1 5FB",,,2019-03-19,,0.06,24,24,DevelopmentDescription: Conversion and refurbishment of building including conversion of 2no. ground floor shop units to provide new apartment entrances and conversion and refurbishment of upper floors to provide 6no. 2-bed and 18no. 1-bed apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2019-03-05,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P4YBHILYMCZ00,Not Permissioned,,2428,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456460.5999999996&xmax=456517.7999999998&ymin=340139&ymax=340156.75",2019-03-19
"127 Foxhall Road, Nottingham, NG7 6LH",,31/03/2019,2019-08-15,,0.03,,,DevelopmentDescription: Change of use from residential care home (Use Class C2) to 10 self contained residential units (Use Class C3).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5ZKT7LY0JQ00,permissioned,full planning permission,2429,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456511.4000000004&xmax=456547.2000000002&ymin=341525.9000000004&ymax=341546.19999999925",2019-03-19
"229 Beechdale Road , Nottingham, NG8 3EZ",yes,,2019-08-15,,0.2,8,8,"DevelopmentDescription: Proposed 8 New Dwellings on Land at 229 Beechdale Road, Aspley; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,,2019-03-12,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PI68TKLYMDV00,permissioned,full planning permission,2430,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453270.1200000001&xmax=453338.1500000004&ymin=341444.5&ymax=341506.1099999994",2019-03-19
"Millstream Court, Peveril Street, Nottingham",yes,,2019-03-22,,0.02,12,12,DevelopmentDescription: Conversion of light industrial building (Use Class B1 (c) ) to 12 dwellings (Use Class C3).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-12-06,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEU1KMLY01B00,,,2433,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455867.2740000002&xmax=455892.4689999996&ymin=340749.11199999973&ymax=340776.54399999976",2019-03-22
"2A Sherwood Rise, Nottingham",yes,,2019-03-22,,0.11,10,10,DevelopmentDescription: Change of use from Class B1(a) offices to Class C3 residential (14 dwellings).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-10-30,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEUBF6LY01B00,,,2434,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456672.9500000002&xmax=456718.3499999996&ymin=341698.5600000005&ymax=341754.8800000008",2019-03-22
"New Brook House, 385 Alfreton Road, Nottingham",yes,,2019-03-22,,0.21,136,136,DevelopmentDescription: Change of use from Office (B1) to Residential (C3); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-11-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PFJRMJLY0KU00,,,2435,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455585.7000000002&xmax=455654.5999999996&ymin=340795.75&ymax=340885.73000000045",2019-03-22
"Inland Revenue Castle, Meadow Road, Nottingham",yes,,2019-03-22,,3.13,332,332,DevelopmentDescription: Change of use from office (B1) to dwellings (C3) (332 residential units 201 x 2 bed and 131x 1bed).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-05-18,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P4G5JGLY01B00,,,2436,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456747.2539999997&xmax=457090.1629999997&ymin=339066.2620000001&ymax=339266.091",2019-03-22
"County House, 23 High Pavement, Nottingham",yes,,2019-03-22,,0.07,3,3,"DevelopmentDescription: A1, A3/A4, office hub and serviced apartments; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,,2018-10-23,,permissioned,full planning permission,2437,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457563.1500000004&xmax=457590.1500000004&ymin=339631.30000000075&ymax=339663.69999999925",2019-03-22
"15 Wheeler Gate, Nottingham",yes,,2019-04-03,,0.08,23,23,"DevelopmentDescription: C3 apt scheme - 23 units, 41 beds in total. 1 and 2 bed units; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PBCAXZLY00M00,,,2438,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457173.75&xmax=457219.8499999996&ymin=339788.25&ymax=339830.05000000075",2019-04-03
"Land At Coventry Road, Bulwell (to The Rear Of 7 - 15 Main Street, Bulwell, Nottinghamshire, NG6 8PS)",,31/03/2019,2019-03-25,,0.06,,,DevelopmentDescription: Construction of 12no. flats; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-06-28,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLB71DLYGCQ00,permissioned,full planning permission,2439,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453933.0499999998&xmax=453958.5999999996&ymin=344823.94999999925&ymax=344858.5",2019-03-25
"102-103 Palm Street, Nottingham, NG7 7HS",,31/03/2019,2019-03-26,,0.11,0,0,DevelopmentDescription: Conversion of warehouse unit from community centre (D1) to 12 residential apartments (C3). Erection of 4 new build houses on car park.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2019-04-15,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PFSZDHLYMRG00,permissioned,full planning permission,2441,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455922.11899999995&xmax=455967.3629999999&ymin=341883.89100000076&ymax=341935.6830000002",2019-03-26
"Shell for Southglade Convenience Store and Notts Cars, Southglade Road, Nottingham, NG5 5GF",,,2019-03-26,,0.28,23,23,DevelopmentDescription: Three storey mixed use development comprising 3 x ground floor retail unit with 15 apartments to upper floors and 8 x semi detached dwellings to rear.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PANSQOLYMN900,,full planning permission,2443,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455636.53199999966&xmax=455706.8119999999&ymin=344837.94600000046&ymax=344907.23399999924",2019-03-26
"267A Trowell Road, Nottingham, NG8 2FE",,,2019-04-03,,0.08,10,10,DevelopmentDescription: Demolition of existing building and erection of 3 storey building comprising of 10 apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PH3N6KLY00M00,,,2448,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=451002.5999999996&xmax=451025.0310000004&ymin=339958&ymax=340003.8200000003",2019-04-03
"34 Tennyson Street and Adventure Playground, Nottingham, NG7 4FU",,,2019-04-03,,0.25,10,10,DevelopmentDescription: Erection of 5 storey student development following demolition of existing building. PREAPP Closed; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PD6O6ALY00M00,,,2449,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456166.77699999977&xmax=456245.7999999998&ymin=340555.25&ymax=340617.5999999996",2019-04-03
"Gala Club, St Anns Well Road, Nottingham, NG3 1ED",,,2019-04-03,,0.36,160,160,DevelopmentDescription: Demolition of existing building and erection of new 24 storey building consisting of student accommodation/residential apartments/mixed use.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q100UMLYFKZ00,,,2450,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457624.4000000004&xmax=457708.5&ymin=340288&ymax=340362.5",2019-04-03
"Ntl Diamond Plaza, Daleside Road, Nottingham, NG2 4DS",,,2019-04-03,,1.54,100,80,DevelopmentDescription: PREAPP is now closed; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9JPA3LY00M00,,,2451,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459010.4000000004&xmax=459215.36000000034&ymin=339219.44999999925&ymax=339389.1300000008",2019-04-03
"St Peters Court, St Peters Street , Nottingham",yes,,2019-04-03,,0.53,88,88,DevelopmentDescription: Additional student accommodation.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PH3MMPLY00M00,,,2453,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455063.3099999996&xmax=455151.54000000004&ymin=340398.8699999992&ymax=340543.19999999925",2019-04-03
"York House, Mansfield Road, Nottingham",yes,,2019-04-03,,0.26,212,212,DevelopmentDescription: Student Scheme; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2019-07-01,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJKT85LYMER00,permissioned,full planning permission,2454,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457249.33999999985&xmax=457315.8169999998&ymin=340426.1420000009&ymax=340504.5250000004",2019-04-03
"1 Wallett Street, Nottingham, NG2 3EL",yes,,2019-04-05,,0.32,141,141,DevelopmentDescription: Residential apartment building with under croft parking following demolition of existing office building.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJD1XYLY00M00,,,2455,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457770.8499999996&xmax=457819.6500000004&ymin=338917.5&ymax=338990",2019-04-05
Triumph Road,yes,,2019-05-02,,0.37,188,188,DevelopmentDescription: Outline for Student Accommodation; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2020-02-18,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q15KTJLYFT000,,outline planning permission,2456,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454944.5999999996&xmax=455035.1500000004&ymin=339279.3499999996&ymax=339366.25",2019-05-03
"Former Medi Park, adj. QMC",,,2019-04-15,,3.66,25,25,DevelopmentDescription: Student Accomodation/PRS apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,,Not Permissioned,Other,2457,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454994.3300000001&xmax=455235.5089999996&ymin=338644.19999999925&ymax=338890.6500000004",2019-04-15
Methodist Bridgeway Hall/ Salvation Army Site,,,2019-04-15,,0.33,50,50,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,,,Not Permissioned,Other,2459,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457492.2400000002&xmax=457568.3223000001&ymin=338787.5&ymax=338874.5999999996",2019-04-15
"58 Mapperley Road, Nottingham, NG3 5AS",yes,,2019-08-15,,0.03,1,1,DevelopmentDescription: Conversion of garage to bedsit.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-01-09,,permissioned,full planning permission,2460,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457629.5999999996&xmax=457649.9000000004&ymin=341669.6500000004&ymax=341709.80000000075",2019-05-29
"162 Alfreton Road, Nottingham, NG7 3NS",yes,,2019-08-15,,0.01,1,1,DevelopmentDescription: Use of upper floors as six bed house in multiple occupation; new windows to rear.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-12-24,,permissioned,full planning permission,2461,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456034.7999999998&xmax=456050.5499999998&ymin=340493.5999999996&ymax=340513.55000000075",2019-05-29
"91 Hartley Road, Nottingham, NG7 3AQ",yes,,2019-08-15,,0.03,1,1,DevelopmentDescription: Proposed Conversion of the existing Medical Centre (Class D1) to a Dwellinghouse (Class C3); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-01-30,,permissioned,full planning permission,2462,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455503.25&xmax=455525&ymin=340639.80000000075&ymax=340659.38299999945",2019-05-29
"13 St Peters Gate, Nottingham, NG1 2JF",yes,,2019-08-15,,0.03,1,1,DevelopmentDescription: Retention of bedroom 1 in first floor student cluster flat (Class C4) as a self-contained studio apartment; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2019-02-28,,permissioned,full planning permission,2463,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457309.0999999996&xmax=457329.3499999996&ymin=339802.30000000075&ymax=339826.6500000004",2019-05-29
"Flat 2, 54 Glasshouse Street , Nottingham, NG1 3LW",yes,,2019-05-22,,0.03,3,3,DevelopmentDescription: Convert 9 bedroom flat into a 4 bedroom flat and 3 studios.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-12-04,,permissioned,full planning permission,2464,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457429.2000000002&xmax=457444.7999999998&ymin=340329.55000000075&ymax=340362.19999999925",2019-05-29
"296 Blue Bell Hill Road , Nottingham, NG3 3EA",yes,,2019-08-15,,0.04,1,1,DevelopmentDescription: Erection of detached two storey dwelling.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-01-10,,permissioned,full planning permission,2465,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458715.4500000002&xmax=458744.1500000004&ymin=341114.9000000004&ymax=341141.1500000004",2019-05-29
"113 Egypt Road, Nottingham, NG7 7GZ",yes,,2019-08-15,,0.01,1,1,DevelopmentDescription: Conversion of office space to a 1 bed self contained apartment; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-12-21,,permissioned,full planning permission,2466,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455987.5999999996&xmax=455998.7000000002&ymin=342494.69999999925&ymax=342507.05000000075",2019-05-29
"2 Eskdale Drive, Nottingham, NG8 5GZ",yes,,2019-08-15,,0.08,1,1,DevelopmentDescription: Convert garage to granny annexe; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-05,,permissioned,full planning permission,2467,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454008.8870000001&xmax=454045.87600000016&ymin=341688.3959999997&ymax=341730.1469999999",2019-05-29
"1-5 Main Street, Nottingham, NG6 8QH",yes,,2019-08-15,,0.02,3,3,DevelopmentDescription: Conversion of first floor from offices to three flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-08,,permissioned,full planning permission,2468,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453952.25&xmax=453966.5999999996&ymin=344806.8499999996&ymax=344827.9000000004",2019-05-29
"Heritage Mews, High Pavement, Nottingham, NG1 1HN",,31/03/2019,2019-08-15,,0.03,,,"DevelopmentDescription: Alterations to 4-8 Heritage Mews in association with use as apartments. Part demolition of back addition to form new external terrace, new windows / doors and rooflights to south facing elevation. New entrace canopy to north elevation. Installation of ro; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-10-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PD4OWILYLV600,permissioned,full planning permission,2469,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457501.4539999999&xmax=457524.96999999974&ymin=339577.4729999993&ymax=339599.1099999994",2019-05-29
"Oak View, Norton Street, Nottingham, NG7 3NA",yes,,2019-08-15,,0.33,3,3,DevelopmentDescription: Conversion of existing office space into three one bedroom flats; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-22,,permissioned,full planning permission,2470,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455634.13100000005&xmax=455694.324&ymin=340540.23399999924&ymax=340613.6559999995",2019-05-29
"Willow View, Office Norton Street, Nottingham, NG7 3QE",yes,,2019-08-15,,0.31,4,4,DevelopmentDescription: Conversion of existing office space into four single bedroom flats; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-12,,permissioned,full planning permission,2471,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455672.2139999997&xmax=455740.5099999998&ymin=340622.8019999992&ymax=340696.5549999997",2019-05-29
"Ash View, Norton Street, Nottingham, NG7 3BX",yes,,2019-05-29,,0.18,1,1,DevelopmentDescription: Conversion of ground floor offices to a one bedroom flat; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-23,,permissioned,full planning permission,2472,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455619.78699999955&xmax=455667.9419999998&ymin=340639.1459999997&ymax=340689.1520000007",2019-05-29
"23 Hockley, Nottingham, NG1 1FH",yes,,2019-08-15,,0.02,1,1,"DevelopmentDescription: Application to convert rooms over existing restaurant at first and second floor levels, formerly used as karaoke studios , into a C4 HMO comprising 5 en-suite bedrooms with communal living, dining and kitchen facilities and resident's storage space.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2019-01-18,,permissioned,full planning permission,2473,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457849.75&xmax=457862.75&ymin=339944.80000000075&ymax=339959.6500000004",2019-05-29
"2 Ash Villas, Nottingham, NG5 1BN",yes,,2019-05-29,,0.02,1,1,DevelopmentDescription: Erection of one bedroom self contained single storey flat.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-16,,permissioned,full planning permission,2474,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456696.9919999996&xmax=456729.25&ymin=342236&ymax=342253.80000000075",2019-05-29
"228 Cinderhill Road, Nottingham, NG6 8SB",yes,,2019-08-15,,0.07,6,6,DevelopmentDescription: Conversion of ground floor to 6 self contained studio flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-01-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PBEAIPLYH5T00,permissioned,full planning permission,2475,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453713.3219999997&xmax=453751.6500000004&ymin=343878.23000000045&ymax=343923.75",2019-05-29
"117 Morley Avenue, Nottingham, NG3 5FZ",yes,,2019-08-15,,0.01,1,1,DevelopmentDescription: New dwelling; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-10-19,,permissioned,full planning permission,2476,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458226.2860000003&xmax=458238.9000000004&ymin=342901.31200000085&ymax=342917.94600000046",2019-05-29
"83-85 Derby Road, Nottingham",,31/03/2019,2019-08-15,,0.01,,,"DevelopmentDescription: Conversion of existing B1 Offices to 4 no. C4 Residential Flats. New dormers, windows and extended flue to rear elevation. New rooflights to front and rear elevations.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-09-05,,permissioned,full planning permission,2477,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456464.9000000004&xmax=456477.4500000002&ymin=340116.1099999994&ymax=340129.5999999996",2019-05-29
"Stanley House , 56 Talbot Street , Nottingham NG1 5GL",,31/03/2019,2019-08-14,,0.2,,,DevelopmentDescription: Change of use of vacant office building to student accommodation.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-03-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PH3A2ALYIFX00,permissioned,full planning permission,2319,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456814.23000000045&xmax=456873.2000000002&ymin=340175.5&ymax=340230.80000000075",2018-12-14
"Factory Between 42 To 98 Morley Avenue, Nottingham",yes,,2018-12-14,,0.49,31,31,DevelopmentDescription: Development of 24no. family houses and 7no. supported housing flats with associated staff office/overnight accommodation.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-04-18,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDYBD3LYHLL00,permissioned,full planning permission,2320,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458149.4000000004&xmax=458243.7000000002&ymin=342741.55000000075&ymax=342837.80000000075",2018-12-14
